Movie_id,Language,Movie_Name,Genres,Year of Release,Popularity,Vote_Average,Vote_Count,Adult
315162,en,Puss in Boots: The Last Wish,Action Adventure Animation Comedy Family Fantasy,2022-12-07,10895.482,8.6,1824,False
76600,en,Avatar: The Way of Water,Action Adventure Science Fiction,2022-12-14,3390.012,7.724,4271,False
593643,en,The Menu,Comedy Horror Thriller,2022-11-18,501.666,7.3,1508,False
661374,en,Glass Onion: A Knives Out Mystery,Comedy Crime Mystery,2022-11-23,1762.412,7.076,2718,False
800815,en,The Pale Blue Eye,Crime Horror Mystery,2022-12-23,1318.459,7.103,652,False
536554,en,M3GAN,Comedy Horror Science Fiction,2023-01-06,2196.229,7.084,267,False
436270,en,Black Adam,Action Fantasy Science Fiction,2022-10-21,2030.075,7.217,3718,False
19995,en,Avatar,Action Adventure Fantasy Science Fiction,2009-12-15,1690.857,7.562,27799,False
653851,en,Devotion,Drama History War,2022-11-23,570.095,6.691,55,False
361743,en,Top Gun: Maverick,Action Drama,2022-05-24,581.371,8.332,5664,False
858408,en,Dog Gone,Adventure Drama Family,2023-01-13,142.013,6.833,36,False
640146,en,Ant-Man and the Wasp: Quantumania,Adventure Comedy Science Fiction,2023-02-15,112.166,0.0,0,False
545611,en,Everything Everywhere All at Once,Action Adventure Science Fiction,2022-03-24,245.247,8.063,2709,False
505642,en,Black Panther: Wakanda Forever,Action Adventure Science Fiction,2022-11-11,1442.235,7.469,1630,False
674324,en,The Banshees of Inisherin,Comedy Drama,2022-10-21,188.453,7.459,494,False
877269,en,Strange World,Adventure Animation Family Science Fiction,2022-11-23,975.13,6.558,652,False
744594,en,White Noise,Comedy Drama Science Fiction,2022-11-25,161.372,5.688,264,False
899112,en,Violent Night,Action Comedy Crime Thriller,2022-11-30,2441.022,7.695,931,False
555604,en,Guillermo del Toro's Pinocchio,Animation Drama Fantasy,2022-11-18,975.662,8.379,1552,False
804095,en,The Fabelmans,Drama,2022-11-11,153.452,8.016,463,False
634649,en,Spider-Man: No Way Home,Action Adventure Science Fiction,2021-12-15,480.177,8.02,16405,False
414906,en,The Batman,Crime Mystery Thriller,2022-03-02,343.009,7.706,7237,False
668482,en,Roald Dahl's Matilda the Musical,Comedy Family Fantasy,2022-11-25,1388.391,6.824,346,False
872954,en,The Old Way,Action Western,2023-01-06,67.915,6.154,13,False
615777,en,Babylon,Comedy Drama,2022-12-22,157.699,7.538,66,False
718930,en,Bullet Train,Action Comedy Thriller,2022-07-03,360.675,7.514,3100,False
676547,en,Prey for the Devil,Horror Thriller,2022-10-23,1362.122,7.219,386,False
616037,en,Thor: Love and Thunder,Action Comedy Fantasy,2022-07-06,372.616,6.661,5202,False
